tool_id,g1,g2,g3,g4,g5,description,scope,returns,inputs
nft.nft_holder_cohorts,nft,holders,nft_holder_cohorts,Holder Retention,ERC721 Transfers,Tracks unique holder growth and retention cohorts over time.,generic,"[""day:date"",""unique_holders:number"",""new_holders:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": false, ""default"": ""\""1 day\""""}]"
infra.beacon_eth_deposits_daily,infra,staking,beacon_eth_deposits_daily,Staking Inflows,Ethereum Traces,Tracks daily ETH deposits to beacon chain deposit contract with moving average.,protocol:BeaconChain,"[""time:date"",""deposited_eth:number"",""ma7:number""]","[{""key"": ""deposit_contract"", ""label"": ""\""Deposit Contract\"""", ""type"": ""contract_address"", ""required"": false, ""default"": ""\""0x00000000219ab540356cbb839cbe05303d7705fa\""""}]"
infra.contract_creation_trends,infra,contracts,contract_creation_trends,Deployment Metrics,Ethereum Traces,Aggregates weekly smart contract creations with cumulative totals.,generic,"[""time:date"",""created_contracts:number"",""cumulative:number""]","[{""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": false, ""default"": ""\""week\""""}]"
nft.nft_holder_growth,nft,holders,nft_holder_growth,Holder Growth Over Time,ERC721 Transfer Events,Computes daily new holders and cumulative unique holders.,generic,"[""day:string"",""new_holders:number"",""cumulative_holders:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.nft_top_holders_leaderboard,nft,holders,nft_top_holders_leaderboard,Top Holders Leaderboard,ERC721 Transfer Events,Ranks top wallets by current token holdings with token IDs.,generic,"[""wallet:string"",""count:number"",""token_ids:string""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""top_n"", ""label"": ""Top N"", ""type"": ""top_n"", ""required"": false, ""default"": ""50""}]"
nft.collection_wallet_overlap,nft,holders,collection_wallet_overlap,Overlapping Holders,Dual collection intersection,Finds wallets holding NFTs from two collections.,generic,"[""wallet:string"",""collection1_nfts:number"",""collection2_nfts:number""]","[{""key"": ""contract_address_1"", ""label"": ""Contract 1"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_address_2"", ""label"": ""Contract 2"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.holder_overlap,nft,holders,holder_overlap,Overlap Count,ERC721 Transfers,Counts shared holders between collections.,generic,"[""overlap_count:number"",""collection_a:string"",""collection_b:string""]","[{""key"": ""contract_a"", ""label"": ""Contract A"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_b"", ""label"": ""Contract B"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.cumulative_unique_holders,nft,holders,cumulative_unique_holders,Unique Holders Over Time,First transfer per wallet,Tracks cumulative and daily new unique holders over time.,generic,"[""day:timestamp"",""cumulative:number"",""daily_new:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
defi.staking_net_flows,defi,staking,staking_net_flows,Net Staking Flows,tokens_solana.transfers,Computes net staking inflows minus outflows by direction.,generic,"[""week:string"",""stake_flow:number"",""unstake_flow:number"",""net_flow:number""]","[{""key"": ""protocol"", ""label"": ""Protocol"", ""type"": ""protocol"", ""required"": true, ""default"": null}, {""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": false, ""default"": ""week""}]"
nft.holder_distribution_buckets,nft,holders,holder_distribution_buckets,Wallets by NFT Count,ERC721 latest holders,Aggregates current holders into buckets by NFT count.,generic,"[""bucket:string"",""wallet_count:number"",""total_nfts:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.nft_diamond_hands_ratio,nft,holders,nft_diamond_hands_ratio,Diamond Hands Ratio,ERC721 Transfer Events,Computes percentage of tokens held since mint without transfers.,generic,"[""diamond_hands_ratio:number"",""untouched_tokens:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.current_holders_leaderboard,nft,holders,current_holders_leaderboard,Top Holders,ERC721 Transfers,Ranks current holders by token count.,generic,"[""wallet:string"",""count:number"",""token_ids:string""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.holder_gini_index,nft,holders,holder_gini_index,Gini Concentration Index,Balance inequality metric,Calculates Gini coefficient for holder concentration evolution.,generic,"[""period:timestamp"",""gini:number"",""unique_holders:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": false, ""default"": ""day""}]"
nft.nft_holder_concentration,nft,holders,nft_holder_concentration,Holder Concentration Ratio,ERC721 Transfer Events,"Calculates unique holders, total supply, and concentration ratio.",generic,"[""unique_holders:number"",""total_supply:number"",""concentration_ratio:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.collection_overlap,nft,holders,collection_overlap,Overlap Holders,Dual ERC721,Counts wallets holding both collections.,generic,"[""overlap_wallets:number"",""collection_a:string"",""collection_b:string""]","[{""key"": ""contract_a"", ""label"": ""Contract A"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_b"", ""label"": ""Contract B"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.whale_distribution,nft,holders,whale_distribution,Whale Buckets,Holder buckets,Buckets holders by ownership size.,generic,"[""bucket:string"",""wallet_count:number"",""token_percentage:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
token.launchpad_user_growth,token,launchpad,launchpad_user_growth,New vs Returning Users,tokens_solana.transfers,Tracks daily new and returning users on launchpads.,protocol:launchpad,"[""date:string"",""new_users:number"",""total_users:number"",""cumulative_users:number""]","[{""key"": ""protocol"", ""label"": ""Protocol"", ""type"": ""protocol"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
nft.new_holders_trend,nft,holders,new_holders_trend,Daily new holder growth,First acquisition cohorts,Calculates daily new holders and growth rate.,generic,"[""day:date"",""new_holders:number"",""growth_rate:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
nft.holder_count_buckets,nft,holders,holder_count_buckets,Holder Distribution Buckets,ERC721 Transfers,Computes wallet counts by held NFT quantity buckets.,generic,"[""bucket:string"",""wallet_count:number"",""percentage:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.daily_unique_holders,nft,holders,daily_unique_holders,Daily Unique Holders,Running Balances CTE,Tracks daily unique NFT holder count over time.,generic,"[""day:timestamp"",""unique_holders:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
nft.collection_crossover_count,nft,holders,collection_crossover_count,Collection Overlap Count,Holder Intersection Join,Counts wallets holding both NFT collections.,generic,"[""overlap_wallets:number"",""collection_a_holders:number"",""collection_b_holders:number""]","[{""key"": ""contract_a"", ""label"": ""Collection A Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_b"", ""label"": ""Collection B Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.whale_concentration_index,nft,holders,whale_concentration_index,Whale Concentration Index,Cumulative Holding Sum,Calculates top holder concentration percentage over time.,generic,"[""day:timestamp"",""top_n_percentage:number"",""whale_count:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""top_n"", ""label"": ""Top N"", ""type"": ""top_n"", ""required"": false, ""default"": ""10""}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
nft.holders_timeseries,nft,holders,holders_timeseries,Holders Over Time,ERC721 transfers,Computes unique holders count daily.,generic,"[""day:timestamp"",""unique_holders:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": false, ""default"": ""day""}]"
nft.holding_period_buckets,nft,holders,holding_period_buckets,Holder tenure distribution,Duration since last transfer,Buckets holders by days since last acquisition.,generic,"[""bucket:string"",""holders:number"",""percentage:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.nft_holder_growth_timeseries,nft,holders,nft_holder_growth_timeseries,Unique Holders Trend,Daily Wallet Balances,Tracks cumulative unique holders over time.,generic,"[""day:string"",""unique_holders:number"",""new_holders:number"",""growth_pct:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
nft.nft_whale_buckets,nft,holders,nft_whale_buckets,Whale Distribution,Ownership Buckets,Buckets holders by token count for concentration.,generic,"[""bucket:string"",""wallet_count:number"",""token_share:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.holders_distribution,nft,holders,holders_distribution,Holder Buckets,ERC721 Transfers,Computes distribution of holders by NFT count buckets.,generic,"[""bucket:string"",""wallet_count:number"",""total_nfts:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
social.casino_win_loss,social,casino,casino_win_loss,Wins vs Losses Ratio,tokens_solana.transfers,Classifies casino player wins versus house payouts.,generic,"[""wallet:string"",""wins_usd:number"",""losses_usd:number"",""net_usd:number""]","[{""key"": ""house"", ""label"": ""House Address"", ""type"": ""wallet_address"", ""required"": true, ""default"": null}, {""key"": ""program"", ""label"": ""Program Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": true, ""default"": null}]"
token.cex_dispatch_detector,token,wallet,cex_dispatch_detector,CEX Dispatch Patterns,tokens_solana.transfers,Detects wallets receiving from CEX then dispatching small SOL amounts.,generic,"[""wallet:string"",""dispatch_score:number"",""dispatch_count:number"",""suspicious:boolean""]","[{""key"": ""days_back"", ""label"": ""Days Back"", ""type"": ""number"", ""required"": true, ""default"": ""7""}, {""key"": ""min_transfer_in_sum_amount"", ""label"": ""Min Inflow SOL"", ""type"": ""number"", ""required"": false, ""default"": ""50""}, {""key"": ""single_transfer_out_min_amount"", ""label"": ""Min Outflow SOL"", ""type"": ""number"", ""required"": false, ""default"": ""0.1""}]"
nft.holders_ratio,nft,holders,holders_ratio,Unique Holder Ratio,ERC721 Transfers,Computes unique holders vs total supply ratio.,generic,"[""unique_holders:number"",""total_supply:number"",""ratio:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.unique_holders_timeseries,nft,holders,unique_holders_timeseries,Daily Unique Holders,Holder snapshots,Tracks daily unique holders over time.,generic,"[""day:date"",""unique_holders:number"",""new_holders:number""]",[]
nft.daily_new_holders,nft,holders,daily_new_holders,New Holders Growth,First acquisition,Tracks daily first-time holders.,generic,"[""day:date"",""new_holders:number"",""growth_rate:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
nft.crossover_holder_count,nft,crossover,crossover_holder_count,Shared Holders,Dual collection holders,Counts wallets holding both NFT collections.,generic,"[""collection_a:string"",""collection_b:string"",""shared_wallets:number""]",[]
nft.collection_crossover_holders,nft,holders,collection_crossover_holders,Overlap Holders,Dual collection join,Counts shared holders between collections.,generic,"[""collection_a:string"",""collection_b:string"",""overlap_wallets:number""]","[{""key"": ""contract_a"", ""label"": ""Contract A"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_b"", ""label"": ""Contract B"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.holding_time_distribution,nft,holders,holding_time_distribution,Days Since Last Transfer,ERC721 Transfers,Buckets tokens by days since last transfer.,generic,"[""bucket:string"",""token_count:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.nft_crossover_wallets,nft,crossover,nft_crossover_wallets,Crossover Holders,ERC721 Transfers,Finds wallets holding tokens from two collections.,generic,"[""wallet:string"",""coll1_count:number"",""coll2_count:number""]","[{""key"": ""contract_a"", ""label"": ""Contract A"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_b"", ""label"": ""Contract B"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
token.monthly_new_returning_users,token,wallet,monthly_new_returning_users,New vs Returning,Dune tokens_solana.transfers,"Computes monthly total, new, and returning users interacting with token.",generic,"[""month:string"",""total_users:number"",""new_users:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.top_nft_holders,nft,holders,top_nft_holders,Top Holders,ERC721 Transfers,Ranks wallets by current NFT holdings.,generic,"[""wallet:string"",""count:number"",""token_ids:string""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""top_n"", ""label"": ""Top N"", ""type"": ""top_n"", ""required"": false, ""default"": ""50""}]"
nft.crossover_holders,nft,holders,crossover_holders,Overlapping holders,Dual-collection intersection,Identifies wallets holding NFTs from two collections.,generic,"[""wallet:string"",""count_a:number"",""count_b:number""]","[{""key"": ""contract_a"", ""label"": ""Contract A"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_b"", ""label"": ""Contract B"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.nft_holder_overlap,nft,holders,nft_holder_overlap,Overlapping Holders,ERC721 Transfers,Finds wallets holding both NFT collections.,generic,"[""wallet:string"",""collection_a_count:number"",""collection_b_count:number""]","[{""key"": ""contract_a"", ""label"": ""Contract A"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_b"", ""label"": ""Contract B"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.nft_unique_holders_timeseries,nft,holders,nft_unique_holders_timeseries,Unique Holders Trend,ERC721 Transfers,Tracks daily unique holders over time.,generic,"[""day:timestamp"",""unique_holders:number"",""cumulative:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": false, ""default"": ""day""}]"
nft.nft_whale_leaderboard,nft,holders,nft_whale_leaderboard,Top Holders,ERC721 Transfers,Ranks top holders by token count.,generic,"[""wallet:string"",""token_count:number"",""token_ids:string""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""top_n"", ""label"": ""Top N"", ""type"": ""top_n"", ""required"": false, ""default"": ""50""}]"
nft.nft_top_holders,nft,holders,nft_top_holders,Top NFT Holders,ERC721 Transfers,Ranks current holders by NFT count.,generic,"[""wallet:string"",""count:number"",""token_ids:string""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""top_n"", ""label"": ""Top N"", ""type"": ""top_n"", ""required"": false, ""default"": ""50""}]"
nft.nft_holder_buckets,nft,holders,nft_holder_buckets,Holder Buckets,ERC721 Transfers,Computes distribution of current holders by tokens held.,generic,"[""bucket:string"",""num_wallets:number"",""total_tokens:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.nft_new_holders_growth,nft,holders,nft_new_holders_growth,New Holders Trend,ERC721 Transfers,Calculates daily new holders and growth rate.,generic,"[""day:date"",""new_holders:number"",""growth_rate:string""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
nft.new_holders_daily,nft,holders,new_holders_daily,Daily New Holders,ERC721 Transfers,Counts new holders acquiring NFTs daily.,generic,"[""day:date"",""new_holders:number"",""growth_rate:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
nft.nft_holding_period,nft,holders,nft_holding_period,Hold Duration Buckets,ERC721 Transfers,Buckets NFTs by days since last transfer.,generic,"[""bucket:string"",""token_count:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.nft_collection_crossover,nft,holders,nft_collection_crossover,Overlap holders count,Dual collection holders,Counts unique wallets holding NFTs from two collections.,generic,"[""collection_a:string"",""collection_b:string"",""overlap_wallets:number"",""a_holders:number"",""b_holders:number""]","[{""key"": ""contract_a"", ""label"": ""Contract A"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_b"", ""label"": ""Contract B"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.nft_crossover_holders,nft,holders,nft_crossover_holders,Overlap Analysis,ERC721 Transfers,Identifies overlapping holders between two NFT collections.,generic,"[""overlap_count:number"",""total1:number"",""total2:number"",""overlap_ratio:number""]","[{""key"": ""contract_address1"", ""label"": ""\""NFT Contract 1\"""", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_address2"", ""label"": ""\""NFT Contract 2\"""", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
token.cumulative_active_users,token,holders,cumulative_active_users,Cumulative Users,Dune tokens_solana.transfers,Calculates daily active users and cumulative total for token.,generic,"[""evt_block_time:string"",""total_user:number"",""cumulative_total:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
nft.nft_holders_growth,nft,holders,nft_holders_growth,Cumulative Holders,ERC721 Transfers,Tracks cumulative unique holders over time.,generic,"[""day:date"",""cumulative_holders:number"",""daily_change:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
nft.nft_new_holders_cohort,nft,holders,nft_new_holders_cohort,Daily New Holders,ERC721 Transfers,Calculates daily new holders and growth rate.,generic,"[""day:date"",""new_holders:number"",""growth_rate:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""30""}]"
nft.wash_trade_multi_tx_detector,nft,identity,wash_trade_multi_tx_detector,Duplicate TX Check,nft.trades table,Detects multi-item trades in single TX indicating potential wash.,generic,"[""tx_hash:string"",""count:number""]","[{""key"": ""platform"", ""label"": ""Platform"", ""type"": ""text"", ""required"": false, ""default"": ""OpenSea""}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": ""30 days ago""}]"
token.launchpad_daily_launches_graduates,token,lp,launchpad_daily_launches_graduates,Launches & Graduates,Dune tokens_solana.transfers,Counts daily new tokens launched and graduated (burned) on launchpad.,protocol:raydium,"[""block_date:string"",""tokens_created:number"",""graduates:number""]","[{""key"": ""outer_executing_account"", ""label"": ""Launchpad Program"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
token.multi_launch_dev_detector,token,identity,multi_launch_dev_detector,Multi-Launch Devs,Dune tokens_solana.transfers,Detects developers launching multiple tokens on launchpads using latest N per dev.,generic,"[""dev_wallet:string"",""token_count:number"",""bot_score:number""]","[{""key"": ""outer_executing_account"", ""label"": ""Launchpad Program"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""top_n"", ""label"": ""Top N"", ""type"": ""top_n"", ""required"": false, ""default"": ""3""}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
nft.crossover_holder_intersection,nft,holders,crossover_holder_intersection,Shared Holders,Multi-collection overlap,Counts wallets holding NFTs from two collections.,generic,"[""shared_wallets:number"",""collection1_wallets:number"",""collection2_wallets:number"",""overlap_pct:number""]","[{""key"": ""contract_address1"", ""label"": ""Contract 1"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_address2"", ""label"": ""Contract 2"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.top_holders_leaderboard,nft,holders,top_holders_leaderboard,Top Holders Leaderboard,Latest Transfer Window,Ranks top wallets by current NFT holdings.,generic,"[""wallet:string"",""held_count:number"",""token_ids:string""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""top_n"", ""label"": ""Top N"", ""type"": ""top_n"", ""required"": false, ""default"": ""50""}]"
token.whale_balance_activity,token,holders,whale_balance_activity,Whale balance vs activity,Solana transfers table,Computes final token balances and correlates with trading volume/activity for whale identification.,generic,"[""wallet:string"",""final_balance:number"",""volume_out:number"",""holder_score:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""min_balance"", ""label"": ""Min balance USD"", ""type"": ""number"", ""required"": false, ""default"": ""10000""}]"
nft.nft_cumulative_holders,nft,holders,nft_cumulative_holders,Holders Over Time,ERC721 Transfers,Tracks cumulative unique holders daily.,generic,"[""day:date"",""unique_holders:number"",""daily_new:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": false, ""default"": ""day""}]"
nft.nft_new_holders,nft,holders,nft_new_holders,New Holders Cohort,ERC721 Transfers,Counts new owners per period.,generic,"[""period:date"",""new_holders:number"",""growth_rate:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": true, ""default"": ""month""}]"
nft.nft_collection_overlap,nft,holders,nft_collection_overlap,Collection Overlap Holders,ERC721 Transfer Events,Counts wallets holding tokens from two collections.,generic,"[""overlap_wallets:number"",""collection_a_holders:number"",""collection_b_holders:number""]","[{""key"": ""contract_a"", ""label"": ""Contract A"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_b"", ""label"": ""Contract B"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.nft_wallet_overlap,nft,holders,nft_wallet_overlap,Wallet Overlap,ERC721 transfers,Computes overlapping holders between collections.,generic,"[""overlapping_wallets:number"",""total_a:number"",""total_b:number"",""overlap_pct:number""]","[{""key"": ""contract_a"", ""label"": ""Contract A"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""contract_b"", ""label"": ""Contract B"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.diamond_hands_ratio,nft,holders,diamond_hands_ratio,Never-Sold Holders,Mint-only owners,Ratio of original minters who never transferred out.,generic,"[""never_sold_wallets:number"",""total_minters:number"",""ratio:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
token.sybil_star_detector,token,identity,sybil_star_detector,Star-pattern sybil detection,Native SOL transfers,Detects sybil wallets via high receiver count in short periods with volume filters.,generic,"[""sender:string"",""receiver_count:number"",""sybil_score:number"",""suspicious:boolean""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": true, ""default"": null}, {""key"": ""min_usd"", ""label"": ""Min USD"", ""type"": ""min_usd"", ""required"": false, ""default"": ""0.001""}]"
defi.trader_cohort_retention,defi,dex,trader_cohort_retention,New vs Returning,Dune dex.trades cohorts,Classifies traders into new and returning cohorts.,generic,"[""cohort:string"",""unique_traders:number"",""new_traders:number"",""returning_traders:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""14""}, {""key"": ""cohort_period"", ""label"": ""Cohort Period"", ""type"": ""text"", ""required"": true, ""default"": ""day""}, {""key"": ""chain"", ""label"": ""Chain"", ""type"": ""chain"", ""required"": false, ""default"": null}]"
token.launch_dominance_daily,token,launchpad,launch_dominance_daily,Pump.fun vs others share,Mint action transfers,Compares daily token launches by pump.fun vs other platforms using approx distinct.,generic,"[""date:string"",""pumpfun_launches:number"",""other_launches:number"",""pump_share:number""]","[{""key"": ""days_lookback"", ""label"": ""Days back"", ""type"": ""number"", ""required"": true, ""default"": ""30""}]"
nft.nft_holder_evolution,nft,holders,nft_holder_evolution,Holder Count Evolution,ERC721 transfers,Tracks daily unique holder count over time.,generic,"[""day:date"",""unique_holders:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
nft.nft_gini_index,nft,holders,nft_gini_index,Gini Concentration,ERC721 transfers,Calculates Gini index for holder concentration.,generic,"[""gini:number"",""top_holder_pct:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.nft_new_holders_trend,nft,holders,nft_new_holders_trend,New Holders Trend,ERC721 transfers,Tracks daily new holders and growth rate.,generic,"[""day:date"",""new_holders:number"",""growth_rate:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
